Model_ID,Median_Rank_Product,IQR_Rank_Product,Statistical_Cluster
Model_Top_03,1.6437518295172258,0.6884432307649704,1
Model_Top_01,2.168943542395397,0.8310564576046033,2
Model_Top_02,3.0000000000000004,2.189877405138407,2
Model_UpperMid_05,4.263051026541897,2.8562413284379535,2
Model_UpperMid_04,7.038964057871045,2.4786382175810076,3
Model_UpperMid_01,7.384053230743221,3.969927508657152,3
Model_UpperMid_08,7.901510895585861,2.080733529160657,3
Model_UpperMid_03,7.9748422689418526,5.0842940932626535,3
Model_UpperMid_02,7.999999999999998,2.4613161784326323,3
Model_UpperMid_07,8.151931096059227,3.240562625407434,3
Model_UpperMid_06,9.587315155141829,2.177857253167197,3
Model_Mid_03,14.273331612887981,1.7564018011937446,4
Model_Mid_04,14.391740680973795,3.8766567617464176,4
Model_Mid_08,15.019084216706664,3.8956222571178465,4
Model_Mid_07,15.075781521018333,3.1635579905190543,4
Model_Mid_11,15.97497064193444,3.518407684723508,4
Model_Mid_10,16.36856209164161,5.396768072125532,4
Model_Mid_05,18.393524004824748,3.989047939490284,4
Model_Mid_02,18.59350062066904,5.906949795863623,4
Model_Mid_01,18.886977575560522,1.7114323058177092,4
Model_Mid_12,19.69205167954668,3.7206553852296516,4
Model_Mid_06,20.58478771060136,1.0417918894292661,4
Model_Mid_09,21.107469515976046,3.1541233947865415,4
Model_LowerMid_04,24.17078691421339,1.8255774475114386,5
Model_LowerMid_03,24.595094858493642,2.59731263091075,5
Model_LowerMid_01,25.328689095926936,1.9649727111056912,5
Model_LowerMid_02,26.59546559255217,1.296811772764059,6
Model_Bottom_02,28.395794070756075,0.7818704013762563,7
Model_Bottom_01,28.567590188458546,0.5973607240701782,7
Model_Bottom_03,29.59592731019947,0.2034878245575058,8
